fullId,source,id,category,datasets,wnsynset,wnsynsetkey,otf,up,front,nfaces,nvertices,nmeshes,nmaterials,minPoint,maxPoint,aligned.minPoint,aligned.maxPoint,aligned.dims,index,variantIds,baseVariantId,isCornerPiece,setIds,componentIds
p5d.124,p5d,124,"indoor_lamp,wall_lamp",SUNCG,n03636649,lamp.n.02,200,,,1026,731,4,4,"-0.0599996, -6.80536E-5, -0.0886237","0.060000405, 0.216266, 0.10903001","-6.00004, -0.00680542, -10.903","5.99996, 21.6266, 8.86237","12.0, 21.633406, 19.76537",28,,,,,
p5d.125,p5d,125,"kitchen_cabinet,kitchen_sink",SUNCG,n02933112,cabinet.n.01,0,,,4662,3246,3,3,"-0.591602, 0.0, -0.59446204","0.608399, 0.901373, 0.615538","-60.839897, 0.0, -61.553802","59.160202, 90.13731, 59.446198","120.0001, 90.13731, 121.0",29,,,1,1,
p5d.126,p5d,126,window,SUNCG,n04587648,window.n.01,85,,,736,680,2,2,"-0.35, 0.0, -0.075","0.35, 1.4, 0.10000001","-35.0, 0.0, -10.0","35.0, 140.0, 7.5","70.0, 140.0, 17.5",30,,,,,
p5d.127,p5d,127,"indoor_lamp,wall_lamp",SUNCG,n03636649,lamp.n.02,200,,,1360,709,2,2,"-0.065, 1.720041E-4, -0.064976","0.065, 0.214893, 0.0848018","-6.5, 0.01720047, -8.48018","6.5, 21.4893, 6.4975996","13.0, 21.4721, 14.977779",31,,,,,
p5d.128,p5d,128,"stand,nightstand",SUNCG,n03015254,chest_of_drawers.n.01,0,,,3948,2714,2,2,"-0.4, 0.0, -0.307724","0.4, 1.16999, 0.30746996","-40.0, 0.0, -30.747002","40.0, 116.99899, 30.7724","80.0, 116.99899, 61.5194",32,,,,,
p5d.129,p5d,129,dresser,SUNCG,n03015254,chest_of_drawers.n.01,0,,,2438,1928,2,2,"-0.6, 0.0, -0.15599999","0.6, 0.9, 0.148375","-60.000004, 0.0, -14.8375","60.000004, 90.0, 15.6","120.00001, 90.0, 30.4375",33,,,,,
p5d.130,p5d,130,plant,SUNCG,n00017222,plant.n.02,0,,,2216,1456,2,2,"-0.322941, 0.0, -0.285079","0.24389297, 0.602371, 0.232081","-24.389301, 0.0, -23.2081","32.2941, 60.2371, 28.5079","56.683403, 60.2371, 51.716",34,,,,,
p5d.131,p5d,131,"kitchen_appliance,refrigerator",SUNCG,n04070727,refrigerator.n.01,0,,,2896,2156,2,2,"-0.45, 0.0015166998, -0.31","0.45, 1.8, 0.31087","-45.0, 0.15167236, -31.086998","45.0, 180.0, 31.0","90.0, 179.84833, 62.086998",35,,,,,
p5d.132,p5d,132,sink,SUNCG,n04223580,sink.n.01,0,,,4886,2615,2,2,"-0.314134, 0.0, -0.22438201","0.314134, 0.978794, 0.224381","-31.4134, 0.0, -22.4381","31.4134, 97.879395, 22.4382","62.8268, 97.879395, 44.8763",36,,,,,
p5d.133,p5d,133,door,SUNCG,n03221720,door.n.01,0,,,2058,2048,4,4,"-0.95, 0.0, -0.67569","0.95, 2.12, 0.09430939","-95.0, 0.0, -9.430939","95.0, 211.99998, 67.569","190.0, 211.99998, 76.99994",37,"133,133_0",,,,
p5d.133_0,p5d,133_0,door,SUNCG,n03221720,door.n.01,0,,,2054,2040,4,4,"-0.95, 0.0, -0.163259","0.95, 2.12, 0.09430942","-95.0, 0.0, -9.430941","95.0, 211.99998, 16.3259","190.0, 211.99998, 25.75684",37,"133,133_0",133,,,
p5d.133_2,p5d,133_2,door,SUNCG,n03221720,door.n.01,0,,,170,254,1,1,"-0.95, 0.0, -0.0943095","0.95, 2.12, 0.0943094","-95.0, 0.0, -9.430939","95.0, 211.99998, 9.43095","190.0, 211.99998, 18.861889",37,"133,133_0,133_2",133,,,
p5d.134,p5d,134,table_and_chair,SUNCG,,,0,,,6516,6626,2,2,"-0.775, 0.0, -0.65547395","0.775, 0.928589, 0.654958","-77.5, 0.0, -65.495804","77.5, 92.8589, 65.54741","155.0, 92.8589, 131.04321",38,,,,,
p5d.135,p5d,135,shower,SUNCG,n04208936,shower.n.01,0,,,4306,3664,7,7,"-0.50000596, 0.0, -0.400004","0.5, 2.3, 0.4","-50.0, 0.0, -40.0","50.000603, 230.0, 40.000397","100.0006, 230.0, 80.0004",39,,,1,,
p5d.136,p5d,136,"toy,fish_tank",SUNCG,n02732072,aquarium.n.01,0,,,3462,2368,7,7,"-0.470287, 0.0, -0.47143","0.469452, 1.49958, 0.468225","-46.945198, 0.0, -46.822502","47.028694, 149.95801, 47.142998","93.97389, 149.95801, 93.9655",40,,,1,,
p5d.137,p5d,137,"kitchen_cabinet,kitchen_sink",SUNCG,n02933112,cabinet.n.01,0,,,4008,2878,3,3,"-0.597645, 0.0, -0.599225","0.602048, 0.900014, 0.600774","-60.2048, 0.0, -60.0774","59.7645, 90.001396, 59.922493","119.9693, 90.001396, 119.99989",41,,,1,1,
p5d.138,p5d,138,"kitchen_cabinet,kitchen_sink",SUNCG,n02933112,cabinet.n.01,0,,,3998,2884,3,3,"-0.597952, 0.0, -0.599226","0.60204804, 0.900014, 0.600775","-60.2048, 0.0, -60.0775","59.7952, 90.001396, 59.9226","120.0, 90.001396, 120.0001",42,,,1,1,
p5d.139,p5d,139,shower,SUNCG,n04208936,shower.n.01,0,,,6838,5787,11,11,"-0.40000004, 0.0, -0.399989","0.399988, 2.07927, 0.39999998","-39.998795, 0.0, -40.0","40.0, 207.92699, 39.9989","79.998795, 207.92699, 79.9989",43,,,1,,
p5d.140,p5d,140,dresser,SUNCG,n03015254,chest_of_drawers.n.01,0,,,2812,2354,1,1,"-0.55, 0.0, -0.25","0.55, 1.05, 0.250507","-55.0, 0.0, -25.050697","55.0, 104.99999, 25.0","110.0, 104.99999, 50.050697",44,,,,,
p5d.141,p5d,141,dressing_table,SUNCG,n03238586,dressing_table.n.01,0,,,1366,1284,2,2,"-0.4, 0.0, -0.135007","0.4, 1.19, 0.13509","-40.0, 0.0, -13.508999","40.0, 119.00001, 13.500698","80.0, 119.00001, 27.009697",45,,,,,
p5d.142,p5d,142,"chair,straight_chair",SUNCG,n04331277,straight_chair.n.01,0,"0,1,0","0,0,-1",1792,1574,2,2,"-0.22498599, 0.0, -0.160231","0.225014, 1.00424, 0.22739798","-22.4986, 0.0, -16.023102","22.5014, 100.424, 22.7398","45.0, 100.424, 38.7629",46,,,,,
p5d.143,p5d,143,"music,piano",SUNCG,n03928116,piano.n.01,0,,,2932,2440,3,2,"-0.76, 0.0, -0.3","0.76, 1.38, 0.3","-76.0, 0.0, -30.000002","76.0, 138.0, 30.000002","152.0, 138.0, 60.000004",47,,,,,
p5d.144,p5d,144,mirror,SUNCG,n03773035,mirror.n.01,80,,,220,176,2,2,"-0.3, 0.0, -0.0100001","0.3, 1.2, 0.01","-30.000002, 0.0, -1.0","30.000002, 120.00001, 1.00001","60.000004, 120.00001, 2.00001",48,,,,,
p5d.145,p5d,145,shoes_cabinet,SUNCG,n02933112,cabinet.n.01,0,,,1024,956,2,2,"-0.445, 0.0, -0.165","0.445, 0.52, 0.165","-44.5, 0.0, -16.5","44.5, 52.0, 16.5","89.0, 52.0, 33.0",49,,,,,
p5d.146,p5d,146,"stand,nightstand",SUNCG,n03015254,chest_of_drawers.n.01,0,"0,1,0","1,0,0",782,728,1,1,"-0.2, 0.0, -0.24","0.2, 0.53, 0.24","-24.0, 0.0, -20.0","24.0, 52.999996, 20.0","48.0, 52.999996, 40.0",50,,,,,
p5d.147,p5d,147,"stand,nightstand",SUNCG,n03015254,chest_of_drawers.n.01,0,,,1740,1466,2,2,"-0.25, 0.0, -0.19999999","0.25, 0.5, 0.19891","-25.0, 0.0, -19.890999","25.0, 50.0, 20.0","50.0, 50.0, 39.891",51,,,,,
p5d.148,p5d,148,"books,book",SUNCG,n02870526,book.n.11,98,,,96,52,2,2,"-0.085, -3.7252903E-9, -0.1","0.085, 0.05, 0.1","-8.5, -4.7683716E-7, -10.0","8.5, 5.0, 10.0","17.0, 5.0000005, 20.0",52,,,,,
p5d.149,p5d,149,"kitchenware,cup",SUNCG,n03797390,mug.n.04,77,,,1570,817,1,1,"-0.0801718, 0.0, -0.0801718","0.0821073, 0.0944916, 0.0801718","-8.21073, 0.0, -8.01718","8.0171795, 9.44916, 8.01718","16.22791, 9.44916, 16.03436",53,,,,,
p5d.150,p5d,150,"toilet,bidet",SUNCG,n02836174,bidet.n.01,0,,,2708,1585,2,2,"-0.197566, 7.016659E-4, -0.292428","0.197566, 0.592311, 0.301048","-19.7566, 0.07016754, -30.104801","19.7566, 59.231102, 29.242798","39.5132, 59.160934, 59.3476",54,,,,,
p5d.151,p5d,151,stairs,SUNCG,n04314914,step.n.04,0,,,12994,11337,1,1,"-1.3924501, 2.3841858E-7, -1.8017299","1.34783, 3.37339, 1.75827","-134.78302, 0.0, -175.827","139.245, 337.339, 180.173","274.028, 337.339, 356.0",55,,,,,
p5d.152,p5d,152,stairs,SUNCG,n04314914,step.n.04,0,,,1974,2464,1,1,"-0.644192, 2.7155876E-4, -1.7161999","0.644192, 3.50354, 1.704","-64.4192, 0.027160645, -170.4","64.4192, 350.354, 171.62","128.8384, 350.32684, 342.02",56,,,,,
p5d.153,p5d,153,rug,SUNCG,n04118021,rug.n.01,0,,,204,172,5,5,"-0.5, -1.8626451E-8, -0.43","0.5, 0.015, 0.43","-50.0, -1.9073486E-6, -43.0","50.0, 1.5, 43.0","100.0, 1.5000019, 86.0",57,,,,,
p5d.154,p5d,154,"kitchenware,pan",SUNCG,n03880531,pan.n.01,78,,,2426,1226,2,2,"-0.265019, -7.4505806E-9, -0.158111","0.26457, 0.0719456, 0.158111","-26.457, -4.7683716E-7, -15.811101","26.5019, 7.19456, 15.811101","52.9589, 7.1945605, 31.622202",58,,,,,
p5d.155,p5d,155,sofa,SUNCG,n04256520,sofa.n.01,0,,,3624,2428,3,3,"-1.205, 4.183054E-4, -0.485","1.205, 0.830177, 0.48516","-120.50001, 0.04182434, -48.516","120.50001, 83.0177, 48.5","241.00002, 82.975876, 97.016",59,,,,,
p5d.156,p5d,156,sofa,SUNCG,n04256520,sofa.n.01,0,,,4364,2840,2,2,"-1.075, 0.0023565292, -0.46","1.075, 0.888118, 0.46","-107.50001, 0.23564911, -46.0","107.50001, 88.811806, 46.0","215.00002, 88.57616, 92.0",60,,,,,
p5d.157,p5d,157,sofa,SUNCG,n04256520,sofa.n.01,0,,,7444,4501,2,2,"-1.35558, 0.0, -0.728794","1.35558, 1.04204, 0.75619996","-135.558, 0.0, -75.619995","135.558, 104.204, 72.879395","271.116, 104.204, 148.49939",61,,,,100,
p5d.166,p5d,166,"chair,armchair",SUNCG,n02738535,armchair.n.01,0,,,2380,1843,2,2,"-0.315, 0.0, -0.4","0.315, 0.71, 0.399707","-31.5, 0.0, -39.970703","31.5, 71.0, 40.0","63.0, 71.0, 79.9707",62,,,,,
p5d.167,p5d,167,sofa,SUNCG,n04256520,sofa.n.01,0,,,3704,2290,2,1,"-1.519527, 0.0, -0.968506","1.5175328, 1.044781, 0.96445906","-151.7533, 0.0, -96.44591","151.9527, 104.478096, 96.8506","303.706, 104.478096, 193.29651",63,,,,147,
p5d.168,p5d,168,sofa,SUNCG,n04256520,sofa.n.01,0,,,5170,3513,2,2,"-1.19, 0.0, -0.745","1.19031, 0.808198, 0.745","-119.031, 0.0, -74.5","119.00001, 80.81979, 74.5","238.031, 80.81979, 149.0",64,,,,100,
p5d.169,p5d,169,"chair,armchair,sofa_chair",SUNCG,n03262932,easy_chair.n.01,0,,,3984,2274,2,2,"-0.501614, 0.0, -0.415985","0.501614, 0.816311, 0.41524696","-50.161396, 0.0, -41.5247","50.161396, 81.6311, 41.5985","100.32279, 81.6311, 83.1232",65,,,,147,
p5d.170,p5d,170,sofa,SUNCG,n04256520,sofa.n.01,0,,,4035,2721,2,2,"-0.605206, 0.0, -0.569033","0.605206, 1.10223, 0.55514896","-60.5206, 0.0, -55.5149","60.5206, 110.22299, 56.903297","121.0412, 110.22299, 112.4182",66,,,,,
p5d.171,p5d,171,"table,coffee_table",SUNCG,n03063968,coffee_table.n.01,0,,,3328,2448,4,4,"-0.54, 0.0, -0.32","0.54, 0.46, 0.32","-54.000004, 0.0, -32.0","54.000004, 46.0, 32.0","108.00001, 46.0, 64.0",67,,,,,
p5d.172,p5d,172,"table,coffee_table",SUNCG,n03063968,coffee_table.n.01,0,,,3948,3700,3,3,"-0.46, 1.257062E-4, -0.255","0.46, 0.500012, 0.255","-46.0, 0.012573242, -25.5","46.0, 50.001198, 25.5","92.0, 49.988625, 51.0",68,,,,,
p5d.173,p5d,173,"table,coffee_table",SUNCG,n03063968,coffee_table.n.01,0,,,2804,1960,3,3,"-0.6, 0.0, -0.33","0.6, 0.48, 0.33","-60.000004, 0.0, -33.0","60.000004, 48.0, 33.0","120.00001, 48.0, 66.0",69,,,,,
p5d.174,p5d,174,"table,coffee_table",SUNCG,n03063968,coffee_table.n.01,0,,,1610,884,3,3,"-0.29, 7.7587366E-4, -0.29","0.29, 0.560345, 0.29","-29.0, 0.07758713, -29.0","29.0, 56.0345, 29.0","58.0, 55.956913, 58.0",70,,,,,
p5d.175,p5d,175,"indoor_lamp,wall_lamp",SUNCG,n03636649,lamp.n.02,205,,,2202,1393,2,2,"-0.2, -0.0018050671, -0.110059","0.2, 0.246287, 0.109941","-20.0, -0.18050575, -10.9941","20.0, 24.6287, 11.0059","40.0, 24.809206, 22.0",71,,,,,
p5d.176,p5d,176,"indoor_lamp,wall_lamp",SUNCG,n03636649,lamp.n.02,202,,,1608,1157,2,2,"-0.0676554, 0.002344489, -0.079553604","0.0676554, 0.137655, 0.077982694","-6.76554, 0.23444939, -7.79827","6.76554, 13.7655, 7.9553595","13.53108, 13.531051, 15.75363",72,,,,,
p5d.178,p5d,178,"indoor_lamp,wall_lamp",SUNCG,n03636649,lamp.n.02,200,,,756,618,2,2,"-0.140464, -2.2029877E-4, -0.01957351","0.093561694, 0.15978, 0.34996","-9.35617, -0.022029877, -34.995995","14.046399, 15.978001, 1.9573498","23.402569, 16.00003, 36.953342",73,,,,,
p5d.179,p5d,179,"indoor_lamp,wall_lamp",SUNCG,n03636649,lamp.n.02,196,,,1824,1154,3,3,"-0.20903, 1.9941479E-4, -0.020838007","0.20903, 0.12, 0.189183","-20.903, 0.01994133, -18.9183","20.903, 12.0, 2.0838003","41.806, 11.980059, 21.0021",74,,,,,
p5d.180,p5d,180,"indoor_lamp,wall_lamp",SUNCG,n03636649,lamp.n.02,191,,,980,1916,1,1,"-0.205, 0.0063712, -0.179922","0.205, 0.314673, 0.140078","-20.5, 0.6371193, -14.007799","20.5, 31.4673, 17.9922","41.0, 30.830181, 32.0",75,,,,,
p5d.181,p5d,181,sink,SUNCG,n04223580,sink.n.01,35,,,2640,1862,3,3,"-0.48, 0.3499999, -0.22","0.48, 1.0365, 0.22","-48.0, 35.0, -22.0","48.0, 103.649994, 22.0","96.0, 68.649994, 44.0",76,,,,,
p5d.182,p5d,182,wardrobe_cabinet,SUNCG,n02933112,cabinet.n.01,132,,,690,608,2,2,"-0.375, 0.0, -0.12","0.375, 0.789773, 0.120007","-37.5, 0.0, -12.000702","37.5, 78.977295, 12.0","75.0, 78.977295, 24.000702",77,,,,,
p5d.183,p5d,183,sink,SUNCG,n04223580,sink.n.01,30,,,4038,2825,3,3,"-0.49, -1.3518333E-4, -0.333145","0.49, 0.513717, 0.306666","-49.0, -0.013519287, -30.6666","49.0, 51.3717, 33.3145","98.0, 51.38522, 63.9811",78,,,,,
p5d.184,p5d,184,wardrobe_cabinet,SUNCG,n02933112,cabinet.n.01,0,,,2992,2254,2,2,"-2.0, 0.0, -0.25","2.0, 2.2, 0.25","-200.0, 0.0, -25.0","200.0, 220.0, 25.0","400.0, 220.0, 50.0",79,,,,,
p5d.185,p5d,185,"recreation,game_table",SUNCG,n04379243,table.n.02,0,,,4392,3374,9,6,"-1.48989, -5.9604645E-8, -0.855","1.48989, 0.810389, 0.855","-148.989, 0.0, -85.5","148.989, 81.038895, 85.5","297.978, 81.038895, 171.0",80,,,,,
p5d.186,p5d,186,sink,SUNCG,n04223580,sink.n.01,20,,,3012,2033,3,3,"-0.42, 2.43783E-4, -0.278254","0.42, 0.718483, 0.297007","-42.0, 0.024375916, -29.700699","42.0, 71.8483, 27.825401","84.0, 71.82392, 57.5261",81,,,,,
p5d.187,p5d,187,wardrobe_cabinet,SUNCG,n02933112,cabinet.n.01,0,,,2050,1618,2,2,"-0.675, 2.193451E-5, -0.45","0.675, 2.16003, 0.449921","-67.5, 0.0021972656, -44.992096","67.5, 216.00299, 45.0","135.0, 216.0008, 89.992096",82,,,1,,
p5d.188,p5d,188,shelving,SUNCG,n04190052,shelf.n.01,130,,,1586,1121,3,3,"-0.35, 0.0, -0.150909","0.35, 0.65, 0.149091","-35.0, 0.0, -14.9091","35.0, 65.0, 15.0909","70.0, 65.0, 30.0",83,,,,,
p5d.189,p5d,189,computer,SUNCG,n03082979,computer.n.01,75,,,4089,4925,4,4,"-0.32475, -0.0022236109, -0.180023","0.32475, 0.519491, 0.179484","-32.475002, -0.22236252, -17.948399","32.475002, 51.9491, 18.0023","64.950005, 52.171463, 35.9507",84,,,,,
p5d.190,p5d,190,"bed,baby_bed",SUNCG,n02766320,baby_bed.n.01,0,"0,1,0","1,0,0",5442,5707,2,2,"-0.654911, 0.0, -0.375007","0.654911, 1.02, 0.375006","-37.5007, 0.0, -65.4911","37.500595, 102.0, 65.4911","75.0013, 102.0, 130.9822",85,,,,,
p5d.191,p5d,191,"shelving,bookshelf",SUNCG,n02871439,bookshelf.n.01,0,,,1720,1628,2,2,"-0.2, 0.0, -0.1925","0.2, 2.03, 0.217855","-20.0, 0.0, -21.7855","20.0, 203.0, 19.25","40.0, 203.0, 41.0355",86,,,,,
p5d.192,p5d,192,shelving,SUNCG,n04190052,shelf.n.01,0,,,2464,1646,2,2,"-0.159359, 0.0, -0.108383","0.159359, 1.37627, 0.09151089","-15.9359, 0.0, -9.15109","15.9359, 137.627, 10.8383","31.8718, 137.627, 19.98939",87,,,,,
p5d.193,p5d,193,shelving,SUNCG,n04190052,shelf.n.01,170,,,1404,989,2,2,"-0.8, -2.9802322E-7, -0.125","0.8, 0.643424, 0.125","-80.0, -3.0517578E-5, -12.5","80.0, 64.3424, 12.5","160.0, 64.34243, 25.0",88,,,,,
p5d.194,p5d,194,wardrobe_cabinet,SUNCG,n02933112,cabinet.n.01,0,,,772,790,2,2,"-1.0, 0.0, -0.288","1.0, 2.1, 0.287288","-100.0, 0.0, -28.728802","100.0, 209.99998, 28.8","200.0, 209.99998, 57.5288",89,,,,,
p5d.195,p5d,195,"stand,nightstand",SUNCG,n03015254,chest_of_drawers.n.01,0,,,1984,1784,3,3,"-0.23, 0.0, -0.18","0.23, 0.65, 0.179753","-23.0, 0.0, -17.9753","23.0, 65.0, 18.0","46.0, 65.0, 35.9753",90,,,,,
p5d.196,p5d,196,"chair,armchair",SUNCG,n04099969,rocking_chair.n.01,0,,,3813,3651,2,2,"-0.3, 0.006789446, -0.49985796","0.3, 1.03771, 0.499649","-30.000002, 0.6789398, -49.964897","30.000002, 103.770996, 49.9858","60.000004, 103.09206, 99.9507",91,,,,,
p5d.197,p5d,197,"stand,nightstand",SUNCG,n03015254,chest_of_drawers.n.01,0,,,1380,1212,5,5,"-0.225, 0.0, -0.23499998","0.225, 0.44, 0.23472801","-22.5, 0.0, -23.472801","22.5, 44.0, 23.5","45.0, 44.0, 46.9728",92,,,,,
p5d.198,p5d,198,tv_stand,SUNCG,n03290653,entertainment_center.n.01,0,,,3080,2534,3,3,"-0.555, 0.0, -0.266552","0.555, 0.439673, 0.266552","-55.5, 0.0, -26.655201","55.5, 43.9673, 26.655201","111.0, 43.9673, 53.310402",93,,,,,
p5d.199,p5d,199,dressing_table,SUNCG,n03238586,dressing_table.n.01,0,,,3208,2874,4,4,"-0.400003, 0.0, -0.416458","0.400003, 1.16228, 0.41429698","-40.000298, 0.0, -41.429703","40.000298, 116.228, 41.645798","80.000595, 116.228, 83.0755",94,,,,,
p5d.200,p5d,200,dressing_table,SUNCG,n03238586,dressing_table.n.01,0,,,3844,3448,3,3,"-0.775, -5.9604645E-7, -0.200509","0.77500093, 1.1386, 0.200509","-77.50009, -6.1035156E-5, -20.0509","77.5, 113.86, 20.0509","155.00009, 113.86006, 40.1018",95,,,,,
